Image ID,QC result,Slice,Reason,
388919,Good,,,
432843,Good,,,
362849,Good,,,
402045,Good,,,
432792,Good,,,
351549,Good,,,
432788,Good,,,
349561,Good,,,
398390,Good,,,
432785,Good,,,
357694,Good,,,
350509,Good,,,
416096,Good,,,
432784,Good,,,
362860,Good,,,
349785,Good,,,
432782,Good,,,
362858,Good,,,
350510,Good,,,
394759,Good,,,
357704,Good,165,Dura,
339168,Good,,,
308046,Good,,,
431775,Good,,,
431875,Good,,,
357718,Good,127,Motion,
322949,Good,,,
362974,Good,,,
374497,Good,,,
415831,Good,,,
326523,Good,,,
326525,Bad,138,Mosaic,
362986,Good,,,
414366,Good,,,
300946,Good,,,
321266,Good,,,
349590,Good,,,
364674,Good,,,
349820,Good,,,
362989,Good,,,
374470,Good,,,
416010,Good,,,
349866,Bad,166,artifact,5019
362991,Good,,,
374462,Good,,,
417072,Bad,168,artifact,
229343,Good,,,
250625,Good,,,
272676,Good,,,
305607,Good,,,
357854,Good,,,
374642,Good,,,
398340,Good,,,
437705,Good,,,
291895,Good,,,
334182,Good,,,
349605,Good,,,
296409,Good,,,
349889,Good,,,
362950,Good,,,
374493,Good,,,
399905,Good,,,
250638,Good,,,
272727,Good,,,
297287,Good,,,
340481,Good,,,
391062,Good,,,
260245,Good,,,
280657,Good,,,
306766,Good,,,
350351,Good,,,
398263,Good,,,
295949,Good,,,
313581,Good,,,
340534,Good,,,
322532,Good,,,
349339,Good,,,
363024,Good,,,
398266,Good,,,
362974,Good,,,
374497,Good,,,
415831,Bad,162-165,missing part of brain,
415830,Good,,,
305602,Good,,,
331729,Good,,,
358501,Good,,,
424748,Good,,,
306751,Good,,,
337518,Good,,,
297291,Good,,,
280549,Good,,,
